id,date,neighborhood,category,status,lat,lng,valuation,description
10019,2019-02-08,Chinatown,Damaged Property,Referred,37.785869,-122.41929,,Service request #10019: encampment reported by resident
10020,2019-02-17,Chinatown,Damaged Property,Closed,37.794554,-122.405481,,Service request #10020: general request reported by resident
10021,2019-02-12,Chinatown,Damaged Property,Closed,37.797979,-122.403296,,Service request #10021: abandoned vehicle reported by resident
10022,2019-02-21,Chinatown,Abandoned Vehicle,Closed,37.798558,-122.40598,,Service request #10022: street and sidewalk cleaning reported by resident
10023,2019-02-28,Chinatown,Illegal Dumping,Closed,37.80021,-122.408859,,Service request #10023: illegal dumping reported by resident
10024,2019-02-03,Chinatown,Noise Complaint,Closed,37.810174,-122.401696,,Service request #10024: tree maintenance reported by resident
10025,2019-02-24,Chinatown,Street and Sidewalk Cleaning,Closed,37.780534,-122.393395,,Service request #10025: park maintenance reported by resident
10026,2019-02-23,Chinatown,General Request,In Progress,37.790029,-122.408908,,Service request #10026: noise complaint reported by resident
10027,2019-02-16,Chinatown,Noise Complaint,In Progress,37.770487,-122.415012,,Service request #10027: overflowing trash reported by resident
10028,2019-02-08,Chinatown,Building Maintenance,In Progress,37.794227,-122.408322,,Service request #10028: noise complaint reported by resident
10029,2019-02-17,Chinatown,Overflowing Trash,Duplicate,37.804809,-122.396657,,Service request #10029: building maintenance reported by resident
10030,2019-02-23,Chinatown,Parking Enforcement,Pending,37.808691,-122.425344,,Service request #10030: sewer issues reported by resident
10031,2019-02-05,Chinatown,Damaged Property,Closed,37.794106,-122.417786,,Service request #10031: sewer issues reported by resident
10032,2019-02-02,Chinatown,Damaged Property,Open,37.779373,-122.417304,,Service request #10032: pothole reported by resident
10033,2019-02-16,Chinatown,Blocked Street or Sidewalk,Open,37.810415,-122.410687,,Service request #10033: blocked street or sidewalk reported by resident
10034,2019-02-17,Chinatown,Pothole,Closed,37.788902,-122.40604,,Service request #10034: street and sidewalk cleaning reported by resident
10035,2019-02-22,Chinatown,Illegal Dumping,Duplicate,37.80574,-122.3953,,Service request #10035: water leak reported by resident
10036,2019-02-03,Chinatown,General Request,Closed,37.805747,-122.398462,,Service request #10036: building maintenance reported by resident
10037,2019-02-06,Chinatown,Street and Sidewalk Cleaning,Closed,37.781475,-122.423004,,Service request #10037: noise complaint reported by resident
10038,2019-02-09,Chinatown,Streetlight Out,In Progress,37.785897,-122.42268,,Service request #10038: illegal dumping reported by resident
10039,2019-02-24,Chinatown,Water Leak,Closed,37.793943,-122.401697,,Service request #10039: encampment reported by resident
10040,2018-12-02,Outer Sunset,Encampment,In Progress,37.767903,-122.504959,,Service request #10040: building maintenance reported by resident
10041,2018-12-31,Outer Sunset,Illegal Dumping,In Progress,37.754584,-122.499201,,Service request #10041: pothole reported by resident
10042,2018-12-24,Outer Sunset,Water Leak,Closed,37.739396,-122.50164,,Service request #10042: streetlight out reported by resident
10043,2018-12-24,Outer Sunset,Streetlight Out,Closed,37.74267,-122.507738,,Service request #10043: sewer issues reported by resident
10044,2018-12-19,Outer Sunset,Park Maintenance,Closed,37.737781,-122.511949,,Service request #10044: general request reported by resident
10045,2018-12-18,Outer Sunset,Parking Enforcement,Closed,37.768812,-122.513925,,Service request #10045: pothole reported by resident
10046,2018-12-07,Outer Sunset,Water Leak,Open,37.747226,-122.483667,,Service request #10046: blocked street or sidewalk reported by resident
10047,2018-12-07,Outer Sunset,Graffiti,Duplicate,37.753966,-122.498964,,Service request #10047: streetlight out reported by resident
10048,2018-12-07,Outer Sunset,Overflowing Trash,Closed,37.729099,-122.519058,,Service request #10048: general request reported by resident
10049,2018-12-25,Outer Sunset,Parking Enforcement,Open,37.758042,-122.500722,,Service request #10049: building maintenance reported by resident
10050,2018-12-30,Outer Sunset,Graffiti,In Progress,37.761084,-122.50616,,Service request #10050: sewer issues reported by resident
10051,2018-12-18,Outer Sunset,Water Leak,Open,37.760258,-122.494645,,Service request #10051: building maintenance reported by resident
10052,2018-12-30,Outer Sunset,General Request,Closed,37.766236,-122.486861,,Service request #10052: noise complaint reported by resident
10053,2018-12-11,Outer Sunset,Pothole,Pending,37.758308,-122.524577,,Service request #10053: illegal dumping reported by resident
10054,2018-12-14,Outer Sunset,Abandoned Vehicle,Referred,37.749649,-122.491863,,Service request #10054: illegal dumping reported by resident
10055,2018-12-07,Outer Sunset,Damaged Property,Closed,37.750811,-122.518041,,Service request #10055: general request reported by resident
10056,2018-12-12,Outer Sunset,Graffiti,Closed,37.755823,-122.519956,,Service request #10056: encampment reported by resident
10057,2018-12-29,Outer Sunset,Blocked Street or Sidewalk,Closed,37.748553,-122.511547,,Service request #10057: illegal dumping reported by resident
10058,2018-12-31,Outer Sunset,Parking Enforcement,Open,37.754188,-122.509955,,Service request #10058: streetlight out reported by resident
10059,2018-12-23,Outer Sunset,Encampment,Closed,37.758124,-122.524302,,Service request #10059: parking enforcement reported by resident
10060,2018-12-31,Outer Sunset,Overflowing Trash,Open,37.758689,-122.504148,,Service request #10060: building maintenance reported by resident
10061,2018-12-19,Outer Sunset,Damaged Property,Pending,37.756509,-122.50682,,Service request #10061: overflowing trash reported by resident
10062,2018-12-21,Outer Sunset,Tree Maintenance,Closed,37.760204,-122.517954,,Service request #10062: general request reported by resident
10063,2018-12-07,Outer Sunset,Noise Complaint,Referred,37.745196,-122.496975,,Service request #10063: park maintenance reported by resident
10064,2018-12-01,Outer Sunset,Building Maintenance,Open,37.753021,-122.510821,,Service request #10064: pothole reported by resident
10065,2018-12-14,Outer Sunset,Water Leak,Closed,37.753364,-122.509902,,Service request #10065: general request reported by resident
10066,2018-12-14,Outer Sunset,Damaged Property,Closed,37.756168,-122.501079,,Service request #10066: tree maintenance reported by resident
10067,2018-12-19,Outer Sunset,General Request,Closed,37.749921,-122.506237,,Service request #10067: damaged property reported by resident
10068,2018-12-23,Outer Sunset,Blocked Street or Sidewalk,Open,37.774874,-122.505278,,Service request #10068: abandoned vehicle reported by resident
10069,2018-12-31,Outer Sunset,General Request,Pending,37.761307,-122.502834,,Service request #10069: general request reported by resident
10070,2018-12-11,Outer Sunset,General Request,Closed,37.755685,-122.49256,,Service request #10070: abandoned vehicle reported by resident
10071,2018-12-13,Outer Sunset,Graffiti,Open,37.765216,-122.506079,,Service request #10071: building maintenance reported by resident
10072,2018-12-25,Outer Sunset,Encampment,Pending,37.762279,-122.51778,,Service request #10072: encampment reported by resident
10073,2018-12-10,Outer Sunset,Encampment,Referred,37.738751,-122.511281,,Service request #10073: graffiti reported by resident
10074,2018-12-30,Outer Sunset,Graffiti,Closed,37.753954,-122.495389,,Service request #10074: streetlight out reported by resident
10075,2018-12-11,Outer Sunset,Water Leak,Closed,37.769098,-122.517246,,Service request #10075: sewer issues reported by resident
10076,2018-12-22,Outer Sunset,Street and Sidewalk Cleaning,Closed,37.764691,-122.510686,,Service request #10076: damaged property reported by resident
10077,2018-12-13,Outer Sunset,General Request,In Progress,37.757905,-122.488685,,Service request #10077: water leak reported by resident
10078,2018-12-06,Outer Sunset,General Request,Open,37.755611,-122.497448,,Service request #10078: sewer issues reported by resident
10079,2018-12-06,Outer Sunset,Water Leak,Closed,37.753045,-122.519653,,Service request #10079: water leak reported by resident
10080,2018-12-22,Outer Sunset,Encampment,Open,37.757712,-122.52601,,Service request #10080: damaged property reported by resident
10081,2018-12-19,Outer Sunset,Damaged Property,Closed,37.767652,-122.50298,,Service request #10081: overflowing trash reported by resident
10082,2018-12-03,Outer Sunset,Water Leak,Closed,37.727591,-122.508028,,Service request #10082: encampment reported by resident
10083,2018-12-25,Outer Sunset,Pothole,Open,37.750172,-122.523024,,Service request #10083: general request reported by resident
10084,2018-05-28,Dogpatch,Blocked Street or Sidewalk,Open,37.751963,-122.380238,,Service request #10084: street and sidewalk cleaning reported by resident
10085,2018-05-18,Dogpatch,Pothole,Closed,37.754009,-122.390983,,Service request #10085: blocked street or sidewalk reported by resident
10086,2018-05-15,Dogpatch,Streetlight Out,Closed,37.769662,-122.375885,,Service request #10086: building maintenance reported by resident
10087,2018-05-03,Dogpatch,Pothole,Closed,37.735209,-122.379221,,Service request #10087: graffiti reported by resident
10088,2018-05-04,Dogpatch,Parking Enforcement,Closed,37.760681,-122.370737,,Service request #10088: overflowing trash reported by resident
10089,2018-05-07,Dogpatch,Encampment,Closed,37.757793,-122.37627,,Service request #10089: illegal dumping reported by resident
10090,2018-05-24,Dogpatch,General Request,Closed,37.766068,-122.378471,,Service request #10090: tree maintenance reported by resident
10091,2018-05-10,Dogpatch,Streetlight Out,In Progress,37.764178,-122.382322,,Service request #10091: general request reported by resident
10092,2018-05-24,Dogpatch,Damaged Property,Pending,37.759482,-122.397653,,Service request #10092: tree maintenance reported by resident
10093,2018-05-07,Dogpatch,Tree Maintenance,Open,37.74649,-122.397427,,Service request #10093: encampment reported by resident
10094,2018-05-03,Dogpatch,Illegal Dumping,Closed,37.750228,-122.378352,,Service request #10094: general request reported by resident
10095,2018-05-18,Dogpatch,Park Maintenance,Closed,37.771535,-122.393943,,Service request #10095: streetlight out reported by resident
10096,2018-05-09,Dogpatch,Street and Sidewalk Cleaning,Closed,37.751354,-122.381261,,Service request #10096: general request reported by resident
10097,2018-05-08,Dogpatch,Streetlight Out,In Progress,37.747052,-122.385823,,Service request #10097: street and sidewalk cleaning reported by resident
10098,2018-05-26,Dogpatch,Abandoned Vehicle,Closed,37.763172,-122.385123,,Service request #10098: graffiti reported by resident
10099,2018-05-08,Dogpatch,Water Leak,Duplicate,37.741355,-122.382258,,Service request #10099: blocked street or sidewalk reported by resident
10100,2018-05-02,Dogpatch,Park Maintenance,In Progress,37.760584,-122.382246,,Service request #10100: abandoned vehicle reported by resident
10101,2018-05-10,Dogpatch,Parking Enforcement,Closed,37.762381,-122.378421,,Service request #10101: streetlight out reported by resident
10102,2018-05-21,Dogpatch,Tree Maintenance,In Progress,37.762097,-122.387957,,Service request #10102: street and sidewalk cleaning reported by resident
10103,2018-05-05,Dogpatch,Park Maintenance,Closed,37.773196,-122.384994,,Service request #10103: general request reported by resident
10104,2018-05-13,Dogpatch,General Request,Closed,37.773081,-122.393526,,Service request #10104: building maintenance reported by resident
10105,2018-05-21,Dogpatch,Tree Maintenance,Closed,37.75068,-122.378151,,Service request #10105: park maintenance reported by resident
10106,2018-05-11,Dogpatch,Park Maintenance,Open,37.751015,-122.386559,,Service request #10106: streetlight out reported by resident
10107,2018-05-04,Dogpatch,Parking Enforcement,In Progress,37.759962,-122.391217,,Service request #10107: noise complaint reported by resident
10108,2018-05-03,Dogpatch,Illegal Dumping,Open,37.77057,-122.373454,,Service request #10108: park maintenance reported by resident
10109,2018-05-12,Dogpatch,Street and Sidewalk Cleaning,Closed,37.771543,-122.389377,,Service request #10109: noise complaint reported by resident
10110,2018-05-15,Dogpatch,Park Maintenance,Referred,37.760685,-122.384267,,Service request #10110: sewer issues reported by resident
10111,2018-05-05,Dogpatch,Street and Sidewalk Cleaning,Open,37.769795,-122.391906,,Service request #10111: park maintenance reported by resident
10112,2018-05-05,Dogpatch,Overflowing Trash,In Progress,37.751421,-122.379355,,Service request #10112: pothole reported by resident
10113,2018-05-19,Dogpatch,Illegal Dumping,Pending,37.75321,-122.381842,,Service request #10113: park maintenance reported by resident
10114,2018-05-28,Dogpatch,Streetlight Out,Referred,37.761675,-122.396439,,Service request #10114: street and sidewalk cleaning reported by resident
10115,2018-05-31,Dogpatch,Pothole,Open,37.738161,-122.373885,,Service request #10115: damaged property reported by resident
10116,2018-05-23,Dogpatch,Damaged Property,Closed,37.755383,-122.390958,,Service request #10116: water leak reported by resident
10117,2018-05-17,Dogpatch,Parking Enforcement,Referred,37.754372,-122.388691,,Service request #10117: abandoned vehicle reported by resident
10118,2018-05-26,Dogpatch,Tree Maintenance,In Progress,37.740923,-122.367764,,Service request #10118: parking enforcement reported by resident
10119,2018-05-22,Dogpatch,Street and Sidewalk Cleaning,In Progress,37.768819,-122.397585,,Service request #10119: street and sidewalk cleaning reported by resident
10120,2018-05-21,Dogpatch,Pothole,Closed,37.768724,-122.383491,,Service request #10120: damaged property reported by resident
10121,2018-05-12,Dogpatch,Blocked Street or Sidewalk,Pending,37.74787,-122.384037,,Service request #10121: illegal dumping reported by resident
10122,2018-05-02,Dogpatch,General Request,Referred,37.747528,-122.395139,,Service request #10122: building maintenance reported by resident
10123,2018-05-19,Dogpatch,Streetlight Out,Closed,37.777706,-122.382247,,Service request #10123: general request reported by resident
10124,2018-05-20,Dogpatch,Water Leak,Closed,37.75791,-122.381571,,Service request #10124: damaged property reported by resident
10125,2018-05-25,Dogpatch,Encampment,Closed,37.753059,-122.361925,,Service request #10125: tree maintenance reported by resident
10126,2018-05-22,Dogpatch,Noise Complaint,In Progress,37.769262,-122.373013,,Service request #10126: streetlight out reported by resident
10127,2021-02-03,Haight-Ashbury,Parking Enforcement,Closed,37.779648,-122.431622,,Service request #10127: overflowing trash reported by resident
10128,2021-02-18,Haight-Ashbury,Overflowing Trash,In Progress,37.778089,-122.439075,,Service request #10128: general request reported by resident
10129,2021-02-16,Haight-Ashbury,Damaged Property,Closed,37.750396,-122.433993,,Service request #10129: encampment reported by resident
10130,2021-02-01,Haight-Ashbury,Graffiti,Referred,37.76184,-122.444846,,Service request #10130: street and sidewalk cleaning reported by resident
10131,2021-02-09,Haight-Ashbury,Tree Maintenance,Closed,37.77469,-122.440616,,Service request #10131: tree maintenance reported by resident
10132,2021-02-28,Haight-Ashbury,Building Maintenance,Referred,37.773441,-122.45116,,Service request #10132: damaged property reported by resident
10133,2021-02-06,Haight-Ashbury,Sewer Issues,Duplicate,37.76151,-122.436905,,Service request #10133: sewer issues reported by resident
10134,2021-02-03,Haight-Ashbury,Overflowing Trash,Pending,37.754547,-122.444995,,Service request #10134: overflowing trash reported by resident
10135,2021-02-14,Haight-Ashbury,Pothole,Referred,37.762275,-122.446873,,Service request #10135: parking enforcement reported by resident
10136,2021-02-15,Haight-Ashbury,Encampment,Pending,37.788993,-122.441046,,Service request #10136: parking enforcement reported by resident
10137,2021-02-20,Haight-Ashbury,Building Maintenance,In Progress,37.765854,-122.444757,,Service request #10137: blocked street or sidewalk reported by resident
10138,2021-02-01,Haight-Ashbury,Streetlight Out,Closed,37.788221,-122.434403,,Service request #10138: general request reported by resident
10139,2021-02-20,Haight-Ashbury,Streetlight Out,Closed,37.779294,-122.462784,,Service request #10139: graffiti reported by resident
10140,2021-02-22,Haight-Ashbury,Park Maintenance,Open,37.772853,-122.462237,,Service request #10140: encampment reported by resident
10141,2021-02-28,Haight-Ashbury,Street and Sidewalk Cleaning,Referred,37.784163,-122.447719,,Service request #10141: blocked street or sidewalk reported by resident
10142,2021-02-21,Haight-Ashbury,Abandoned Vehicle,Closed,37.775686,-122.447797,,Service request #10142: park maintenance reported by resident
10143,2021-02-10,Haight-Ashbury,Pothole,Open,37.742396,-122.452457,,Service request #10143: overflowing trash reported by resident
10144,2021-02-12,Haight-Ashbury,Building Maintenance,Referred,37.761674,-122.467164,,Service request #10144: street and sidewalk cleaning reported by resident
10145,2021-02-25,Haight-Ashbury,Overflowing Trash,Open,37.777853,-122.448292,,Service request #10145: abandoned vehicle reported by resident
10146,2021-02-21,Haight-Ashbury,Park Maintenance,Closed,37.764226,-122.449293,,Service request #10146: street and sidewalk cleaning reported by resident
10147,2021-02-05,Haight-Ashbury,Noise Complaint,Closed,37.771225,-122.455046,,Service request #10147: abandoned vehicle reported by resident
10148,2021-02-23,Haight-Ashbury,Encampment,Closed,37.783911,-122.442592,,Service request #10148: noise complaint reported by resident
10149,2021-02-22,Haight-Ashbury,Overflowing Trash,Open,37.758872,-122.46001,,Service request #10149: damaged property reported by resident
10150,2021-02-15,Haight-Ashbury,Blocked Street or Sidewalk,In Progress,37.767099,-122.434351,,Service request #10150: building maintenance reported by resident
10151,2021-02-27,Haight-Ashbury,Streetlight Out,In Progress,37.768598,-122.466415,,Service request #10151: damaged property reported by resident
10152,2021-02-22,Haight-Ashbury,Pothole,Closed,37.760351,-122.44718,,Service request #10152: streetlight out reported by resident
10153,2021-02-20,Haight-Ashbury,Water Leak,Closed,37.776367,-122.454276,,Service request #10153: park maintenance reported by resident
10154,2021-02-10,Haight-Ashbury,Streetlight Out,Open,37.767378,-122.445327,,Service request #10154: illegal dumping reported by resident
10155,2021-02-14,Haight-Ashbury,Park Maintenance,Closed,37.782299,-122.454394,,Service request #10155: illegal dumping reported by resident
10156,2021-02-04,Haight-Ashbury,Blocked Street or Sidewalk,Open,37.760871,-122.450874,,Service request #10156: pothole reported by resident
10157,2021-02-24,Haight-Ashbury,Parking Enforcement,Pending,37.782907,-122.47476,,Service request #10157: sewer issues reported by resident
10158,2021-02-16,Haight-Ashbury,Blocked Street or Sidewalk,Closed,37.767393,-122.458572,,Service request #10158: blocked street or sidewalk reported by resident
10159,2021-02-20,Haight-Ashbury,Building Maintenance,Closed,37.796956,-122.469198,,Service request #10159: abandoned vehicle reported by resident
10160,2021-02-10,Haight-Ashbury,Encampment,Duplicate,37.788674,-122.451367,,Service request #10160: encampment reported by resident
10161,2021-02-16,Haight-Ashbury,Blocked Street or Sidewalk,Open,37.761196,-122.453853,,Service request #10161: illegal dumping reported by resident
10162,2021-02-20,Haight-Ashbury,Damaged Property,Pending,37.773463,-122.450461,,Service request #10162: street and sidewalk cleaning reported by resident
10163,2021-02-05,Haight-Ashbury,Building Maintenance,In Progress,37.779217,-122.4444,,Service request #10163: park maintenance reported by resident
10164,2021-02-16,Haight-Ashbury,Blocked Street or Sidewalk,In Progress,37.776102,-122.436401,,Service request #10164: illegal dumping reported by resident
10165,2021-02-27,Haight-Ashbury,Encampment,Open,37.769966,-122.443301,,Service request #10165: damaged property reported by resident
10166,2021-02-01,Haight-Ashbury,Encampment,Closed,37.777523,-122.449423,,Service request #10166: streetlight out reported by resident
10167,2021-02-28,Haight-Ashbury,General Request,Open,37.782155,-122.448991,,Service request #10167: general request reported by resident
10168,2021-02-08,Haight-Ashbury,Noise Complaint,Open,37.774362,-122.444837,,Service request #10168: parking enforcement reported by resident
10169,2021-02-13,Haight-Ashbury,Damaged Property,In Progress,37.776839,-122.424914,,Service request #10169: tree maintenance reported by resident
10170,2021-02-27,Haight-Ashbury,Street and Sidewalk Cleaning,Closed,37.771747,-122.44053,,Service request #10170: park maintenance reported by resident
10171,2021-02-01,Haight-Ashbury,Overflowing Trash,Referred,37.782233,-122.447123,,Service request #10171: park maintenance reported by resident
10172,2021-02-01,Haight-Ashbury,Building Maintenance,Referred,37.764174,-122.4203,,Service request #10172: streetlight out reported by resident
10173,2021-03-06,Outer Richmond,Tree Maintenance,Open,37.776471,-122.507593,,Service request #10173: sewer issues reported by resident
10174,2021-03-01,Outer Richmond,Sewer Issues,Open,37.781956,-122.509483,,Service request #10174: overflowing trash reported by resident
10175,2021-03-22,Outer Richmond,Water Leak,Open,37.76995,-122.471713,,Service request #10175: graffiti reported by resident
10176,2021-03-28,Outer Richmond,Graffiti,Duplicate,37.783221,-122.500204,,Service request #10176: blocked street or sidewalk reported by resident
10177,2021-03-22,Outer Richmond,Abandoned Vehicle,Referred,37.772246,-122.490196,,Service request #10177: park maintenance reported by resident
10178,2021-03-18,Outer Richmond,Noise Complaint,Closed,37.774673,-122.489318,,Service request #10178: pothole reported by resident
10179,2021-03-29,Outer Richmond,Sewer Issues,Referred,37.779383,-122.503951,,Service request #10179: parking enforcement reported by resident
10180,2021-03-21,Outer Richmond,Building Maintenance,Referred,37.80368,-122.495494,,Service request #10180: water leak reported by resident
10181,2021-03-10,Outer Richmond,Blocked Street or Sidewalk,Closed,37.783167,-122.502968,,Service request #10181: water leak reported by resident
10182,2021-03-02,Outer Richmond,General Request,Closed,37.766017,-122.488789,,Service request #10182: streetlight out reported by resident
10183,2021-03-12,Outer Richmond,Overflowing Trash,Pending,37.780902,-122.50827,,Service request #10183: tree maintenance reported by resident
10184,2021-03-13,Outer Richmond,Tree Maintenance,Closed,37.767324,-122.507307,,Service request #10184: general request reported by resident
10185,2021-03-31,Outer Richmond,Abandoned Vehicle,In Progress,37.765487,-122.499793,,Service request #10185: parking enforcement reported by resident
10186,2021-03-10,Outer Richmond,Damaged Property,Closed,37.773414,-122.507633,,Service request #10186: street and sidewalk cleaning reported by resident
10187,2021-03-13,Outer Richmond,Blocked Street or Sidewalk,Referred,37.768279,-122.502312,,Service request #10187: blocked street or sidewalk reported by resident
10188,2021-03-03,Outer Richmond,Illegal Dumping,Pending,37.767073,-122.493741,,Service request #10188: water leak reported by resident
10189,2021-03-19,Outer Richmond,Water Leak,Closed,37.763598,-122.519671,,Service request #10189: building maintenance reported by resident
10190,2021-03-06,Outer Richmond,Park Maintenance,Duplicate,37.772603,-122.49687,,Service request #10190: damaged property reported by resident
10191,2021-03-22,Outer Richmond,Abandoned Vehicle,Pending,37.764354,-122.482297,,Service request #10191: overflowing trash reported by resident
10192,2021-03-15,Outer Richmond,General Request,Closed,37.779574,-122.509538,,Service request #10192: streetlight out reported by resident
10193,2021-03-30,Outer Richmond,Pothole,Closed,37.796458,-122.504773,,Service request #10193: tree maintenance reported by resident
10194,2021-03-16,Outer Richmond,Street and Sidewalk Cleaning,Closed,37.773063,-122.504538,,Service request #10194: water leak reported by resident
10195,2021-03-18,Outer Richmond,Tree Maintenance,Closed,37.759503,-122.504035,,Service request #10195: building maintenance reported by resident
10196,2021-03-11,Outer Richmond,Parking Enforcement,Closed,37.759739,-122.507698,,Service request #10196: water leak reported by resident
10197,2021-03-07,Outer Richmond,General Request,Pending,37.768207,-122.520697,,Service request #10197: water leak reported by resident
10198,2021-03-01,Outer Richmond,General Request,Open,37.791043,-122.500532,,Service request #10198: streetlight out reported by resident
10199,2021-03-16,Outer Richmond,Encampment,Closed,37.763935,-122.48802,,Service request #10199: pothole reported by resident
10200,2021-03-28,Outer Richmond,Tree Maintenance,Closed,37.754703,-122.493003,,Service request #10200: street and sidewalk cleaning reported by resident
10201,2021-03-19,Outer Richmond,Overflowing Trash,Duplicate,37.764381,-122.520427,,Service request #10201: tree maintenance reported by resident
10202,2021-03-07,Outer Richmond,Encampment,Closed,37.785916,-122.485644,,Service request #10202: building maintenance reported by resident
10203,2021-03-25,Outer Richmond,General Request,In Progress,37.774737,-122.505092,,Service request #10203: park maintenance reported by resident
10204,2021-03-14,Outer Richmond,Damaged Property,Closed,37.772291,-122.504125,,Service request #10204: water leak reported by resident
10205,2021-03-02,Outer Richmond,Overflowing Trash,Closed,37.78707,-122.501201,,Service request #10205: building maintenance reported by resident
10206,2021-03-21,Outer Richmond,Noise Complaint,Closed,37.777152,-122.491417,,Service request #10206: overflowing trash reported by resident
10207,2021-03-02,Outer Richmond,Sewer Issues,Referred,37.776597,-122.497901,,Service request #10207: water leak reported by resident
10208,2021-03-12,Outer Richmond,Water Leak,Referred,37.795868,-122.52198,,Service request #10208: water leak reported by resident
10209,2021-03-17,Outer Richmond,Noise Complaint,Closed,37.774364,-122.504573,,Service request #10209: sewer issues reported by resident
10210,2021-03-24,Outer Richmond,Noise Complaint,Referred,37.77565,-122.508437,,Service request #10210: parking enforcement reported by resident
10211,2021-03-16,Outer Richmond,Water Leak,Pending,37.773238,-122.497235,,Service request #10211: street and sidewalk cleaning reported by resident
10212,2021-03-28,Outer Richmond,Overflowing Trash,Closed,37.76221,-122.489729,,Service request #10212: parking enforcement reported by resident
10213,2021-03-02,Outer Richmond,General Request,Closed,37.77914,-122.521198,,Service request #10213: water leak reported by resident
10214,2021-03-20,Outer Richmond,Damaged Property,Referred,37.799684,-122.514442,,Service request #10214: noise complaint reported by resident
10215,2021-03-20,Outer Richmond,Streetlight Out,Closed,37.770917,-122.50248,,Service request #10215: damaged property reported by resident
10216,2021-03-11,Outer Richmond,Streetlight Out,Pending,37.775585,-122.49868,,Service request #10216: water leak reported by resident
10217,2021-09-25,Richmond,Water Leak,Closed,37.77686,-122.483369,,Service request #10217: damaged property reported by resident
10218,2021-09-20,Richmond,Streetlight Out,Open,37.772796,-122.48961,,Service request #10218: noise complaint reported by resident
10219,2021-09-26,Richmond,Sewer Issues,Closed,37.75321,-122.466799,,Service request #10219: water leak reported by resident
10220,2021-09-19,Richmond,Blocked Street or Sidewalk,Closed,37.77816,-122.477151,,Service request #10220: general request reported by resident
10221,2021-09-17,Richmond,Building Maintenance,Open,37.794299,-122.479056,,Service request #10221: building maintenance reported by resident
10222,2021-09-24,Richmond,Park Maintenance,In Progress,37.794495,-122.48186,,Service request #10222: building maintenance reported by resident
10223,2021-09-10,Richmond,Streetlight Out,Closed,37.775583,-122.515998,,Service request #10223: sewer issues reported by resident
10224,2021-09-16,Richmond,Park Maintenance,Closed,37.759743,-122.461594,,Service request #10224: building maintenance reported by resident
10225,2021-09-05,Richmond,Sewer Issues,In Progress,37.779701,-122.509593,,Service request #10225: tree maintenance reported by resident
10226,2021-09-20,Richmond,Illegal Dumping,Closed,37.781622,-122.489185,,Service request #10226: illegal dumping reported by resident
10227,2021-09-03,Richmond,Overflowing Trash,Pending,37.770279,-122.480409,,Service request #10227: streetlight out reported by resident
10228,2021-09-05,Richmond,General Request,Closed,37.770342,-122.478672,,Service request #10228: park maintenance reported by resident
10229,2021-09-16,Richmond,Graffiti,In Progress,37.77551,-122.483249,,Service request #10229: sewer issues reported by resident
10230,2021-09-11,Richmond,Encampment,Closed,37.767404,-122.467166,,Service request #10230: encampment reported by resident
10231,2021-09-17,Richmond,Water Leak,Referred,37.767367,-122.483069,,Service request #10231: graffiti reported by resident
