date,neighborhood,population,median_income,unemployment_rate,poverty_rate,renters_pct,foreclosure_rate,tax_delinquency_rate,crime_rate_per_1k,permits_count,permits_valuation_total,code_violations,vacancy_rate,pm25_aqi,311_requests,tree_canopy_pct,median_home_value
2018-01,Sunset,78466,116632.0,5.0,9.3,42.7,0.62,1.4,4.1,51,5538148,63,3.7,29,3365,22.4,1411771
2018-02,Sunset,78359,115337.0,4.6,8.8,42.3,0.6,1.2,5.3,59,6410796,82,4.2,26,3387,22.6,1398274
2018-03,Sunset,78421,115730.0,4.8,8.7,42.5,0.37,1.2,4.8,67,7106002,87,4.1,29,2752,22.5,1412042
2018-04,Sunset,78434,114950.0,5.3,8.2,42.2,0.63,1.0,5.7,82,8771814,82,4.0,21,2865,22.4,1394031
2018-05,Sunset,78506,114729.0,5.3,8.2,42.7,0.35,1.4,4.6,94,10139289,76,3.8,29,2748,22.5,1386631
2018-06,Sunset,78314,115571.0,4.9,7.5,41.7,0.57,1.7,4.8,92,9961834,79,3.8,24,2698,22.4,1405627
2018-07,Sunset,78456,115718.0,4.9,8.7,41.6,0.64,1.2,3.8,84,9010020,93,4.2,34,2817,22.3,1405953
2018-08,Sunset,78422,117660.0,4.8,8.8,42.7,0.74,1.3,4.1,94,10168255,68,3.5,65,2695,22.4,1440878
2018-09,Sunset,78471,116951.0,5.2,9.0,41.8,0.49,1.2,3.9,73,7963817,95,3.7,80,2867,22.5,1449235
2018-10,Sunset,78380,116190.0,5.0,8.7,41.8,0.64,1.7,3.7,56,5954542,75,4.4,66,2786,22.4,1405290
2018-11,Sunset,78410,118823.0,4.8,8.4,42.8,0.43,1.4,3.9,45,5210347,66,4.4,29,2828,22.4,1454141
2018-12,Sunset,78476,115244.0,5.4,8.5,42.6,0.67,1.5,3.9,36,3803161,95,4.5,28,3352,22.3,1432587
2019-01,Sunset,78499,119240.0,4.9,8.1,42.4,0.62,1.4,3.8,49,5443484,74,4.5,35,3357,22.4,1479312
2019-02,Sunset,78423,117526.0,4.5,8.7,41.5,0.71,1.3,4.5,52,5626865,97,3.3,36,3364,22.3,1445427
