id,date,neighborhood,category,resolution,lat,lng,description
180000055,2020-12-04 23:05:00,Chinatown,Assault,Not Prosecuted,37.792585,-122.415278,Incident #180000055
180000056,2020-12-24 08:23:00,Chinatown,Larceny/Theft,Open,37.799182,-122.411492,Incident #180000056
180000057,2020-12-15 02:21:00,Chinatown,Burglary,Open,37.786115,-122.39973,Incident #180000057
180000058,2020-12-11 09:43:00,Chinatown,Drug Offense,Unfounded,37.802497,-122.41679,Incident #180000058
180000059,2020-12-26 22:24:00,Chinatown,Assault,Arrest Made,37.802267,-122.410154,Incident #180000059
180000060,2020-12-30 03:03:00,Chinatown,Larceny/Theft,Exceptional Clearance,37.792365,-122.410049,Incident #180000060
180000061,2020-12-30 23:33:00,Chinatown,Motor Vehicle Theft,Arrest Made,37.792356,-122.406087,Incident #180000061
180000062,2020-12-18 06:21:00,Chinatown,Assault,Open,37.805432,-122.395187,Incident #180000062
180000063,2020-12-10 22:39:00,Chinatown,Assault,Open,37.778652,-122.406807,Incident #180000063
180000064,2020-12-06 13:13:00,Chinatown,Fraud,Open,37.779992,-122.39362,Incident #180000064
180000065,2024-02-23 01:33:00,Haight-Ashbury,Robbery,Open,37.777668,-122.435746,Incident #180000065
180000066,2024-02-14 11:53:00,Haight-Ashbury,Trespass,Cite or Arrest Adult,37.772429,-122.4365,Incident #180000066
180000067,2024-02-14 01:09:00,Haight-Ashbury,Disorderly Conduct,Not Prosecuted,37.780784,-122.436915,Incident #180000067
180000068,2024-02-23 11:37:00,Haight-Ashbury,Vandalism,Arrest Made,37.760972,-122.448006,Incident #180000068
180000069,2024-02-27 01:05:00,Haight-Ashbury,Motor Vehicle Theft,Exceptional Clearance,37.774129,-122.449332,Incident #180000069
180000070,2024-02-27 00:12:00,Haight-Ashbury,Burglary,Unfounded,37.762295,-122.43666,Incident #180000070
180000071,2024-02-22 17:08:00,Haight-Ashbury,Burglary,Arrest Made,37.774003,-122.447741,Incident #180000071
180000072,2024-02-25 12:30:00,Haight-Ashbury,Larceny/Theft,Exceptional Clearance,37.761649,-122.445875,Incident #180000072
180000073,2024-02-05 12:23:00,Haight-Ashbury,Disorderly Conduct,Exceptional Clearance,37.765473,-122.439565,Incident #180000073
180000074,2024-02-18 13:39:00,Haight-Ashbury,Assault,Unfounded,37.76019,-122.446595,Incident #180000074
180000075,2024-02-04 23:57:00,Haight-Ashbury,Motor Vehicle Theft,Cite or Arrest Adult,37.758938,-122.466246,Incident #180000075
180000076,2024-02-09 21:57:00,Haight-Ashbury,Burglary,Arrest Made,37.772406,-122.444575,Incident #180000076
180000077,2024-02-22 19:10:00,Haight-Ashbury,Assault,Open,37.779354,-122.476328,Incident #180000077
180000078,2024-02-10 12:50:00,Haight-Ashbury,Public Intoxication,Not Prosecuted,37.772838,-122.445674,Incident #180000078
180000079,2024-02-16 16:39:00,Haight-Ashbury,Burglary,Arrest Made,37.774017,-122.461621,Incident #180000079
180000080,2024-02-15 20:55:00,Haight-Ashbury,Public Intoxication,Exceptional Clearance,37.77045,-122.456861,Incident #180000080
180000081,2024-02-08 13:16:00,Haight-Ashbury,Burglary,Arrest Made,37.778395,-122.444924,Incident #180000081
180000082,2024-02-04 22:49:00,Haight-Ashbury,Larceny/Theft,Unfounded,37.762463,-122.445563,Incident #180000082
180000083,2024-02-24 10:27:00,Haight-Ashbury,Vandalism,Open,37.785711,-122.419233,Incident #180000083
180000084,2024-02-28 23:47:00,Haight-Ashbury,Drug Offense,Open,37.746961,-122.438963,Incident #180000084
180000085,2024-02-07 19:53:00,Haight-Ashbury,Weapons Offense,Open,37.777267,-122.45146,Incident #180000085
180000086,2024-02-01 11:00:00,Haight-Ashbury,Motor Vehicle Theft,Open,37.781634,-122.45957,Incident #180000086
180000087,2024-02-26 21:21:00,Haight-Ashbury,Weapons Offense,Open,37.763885,-122.440544,Incident #180000087
180000088,2024-02-04 05:30:00,Haight-Ashbury,Disorderly Conduct,Cite or Arrest Adult,37.762934,-122.452186,Incident #180000088
180000089,2024-02-02 01:31:00,Haight-Ashbury,Shoplifting,Complainant Refuses to Prosecute,37.789361,-122.450517,Incident #180000089
180000090,2024-02-01 21:47:00,Haight-Ashbury,Disorderly Conduct,Open,37.772946,-122.437114,Incident #180000090
180000091,2024-02-17 03:01:00,Haight-Ashbury,Public Intoxication,Exceptional Clearance,37.764721,-122.471592,Incident #180000091
180000092,2024-02-14 03:58:00,Haight-Ashbury,Weapons Offense,Open,37.774172,-122.453437,Incident #180000092
180000093,2024-02-10 13:15:00,Haight-Ashbury,Disorderly Conduct,Arrest Made,37.760544,-122.441308,Incident #180000093
180000094,2024-02-25 02:44:00,Haight-Ashbury,Weapons Offense,Arrest Made,37.766513,-122.438525,Incident #180000094
180000095,2024-02-18 19:26:00,Haight-Ashbury,Weapons Offense,Unfounded,37.754369,-122.450949,Incident #180000095
180000096,2024-02-14 12:14:00,Haight-Ashbury,Weapons Offense,Exceptional Clearance,37.769838,-122.441355,Incident #180000096
180000097,2024-02-02 10:16:00,Haight-Ashbury,Burglary,Arrest Made,37.750598,-122.458985,Incident #180000097
180000098,2024-02-16 01:25:00,Haight-Ashbury,Weapons Offense,Unfounded,37.756817,-122.448555,Incident #180000098
180000099,2024-02-20 07:57:00,Haight-Ashbury,Motor Vehicle Theft,Unfounded,37.763205,-122.457736,Incident #180000099
180000100,2024-02-26 15:41:00,Haight-Ashbury,Vandalism,Cite or Arrest Adult,37.78969,-122.450177,Incident #180000100
180000101,2024-02-27 13:57:00,Haight-Ashbury,Fraud,Arrest Made,37.751959,-122.457621,Incident #180000101
180000102,2024-02-11 08:59:00,Haight-Ashbury,Trespass,Arrest Made,37.768027,-122.437623,Incident #180000102
180000103,2024-02-18 03:04:00,Haight-Ashbury,Motor Vehicle Theft,Cite or Arrest Adult,37.802803,-122.468846,Incident #180000103
180000104,2019-03-29 01:14:00,West Portal,Disorderly Conduct,Exceptional Clearance,37.735096,-122.460792,Incident #180000104
180000105,2019-03-28 21:24:00,West Portal,Drug Offense,Exceptional Clearance,37.741655,-122.462354,Incident #180000105
180000106,2019-03-05 14:35:00,West Portal,Assault,Arrest Made,37.742597,-122.461987,Incident #180000106
180000107,2019-03-23 01:23:00,West Portal,Drug Offense,Complainant Refuses to Prosecute,37.731491,-122.472476,Incident #180000107
180000108,2019-03-13 09:36:00,West Portal,Burglary,Unfounded,37.75264,-122.48108,Incident #180000108
180000109,2019-03-24 14:20:00,West Portal,Motor Vehicle Theft,Open,37.756349,-122.463745,Incident #180000109
180000110,2019-03-08 21:08:00,West Portal,Larceny/Theft,Arrest Made,37.742835,-122.450623,Incident #180000110
180000111,2019-03-19 08:12:00,West Portal,Burglary,Open,37.754149,-122.480874,Incident #180000111
180000112,2019-03-14 11:10:00,West Portal,Public Intoxication,Not Prosecuted,37.73863,-122.471254,Incident #180000112
180000113,2019-03-08 17:26:00,West Portal,Disorderly Conduct,Not Prosecuted,37.74568,-122.468492,Incident #180000113
180000114,2019-03-16 07:31:00,West Portal,Assault,Open,37.72289,-122.460138,Incident #180000114
180000115,2019-03-31 20:41:00,West Portal,Disorderly Conduct,Open,37.723369,-122.463297,Incident #180000115
180000116,2019-03-05 14:26:00,West Portal,Robbery,Arrest Made,37.742766,-122.47122,Incident #180000116
180000117,2019-03-01 05:07:00,West Portal,Trespass,Open,37.747884,-122.470739,Incident #180000117
180000118,2019-03-13 11:52:00,West Portal,Robbery,Cite or Arrest Adult,37.721426,-122.472262,Incident #180000118
180000119,2019-03-16 13:20:00,West Portal,Vandalism,Cite or Arrest Adult,37.757563,-122.447778,Incident #180000119
180000120,2019-03-28 04:40:00,West Portal,Public Intoxication,Open,37.737348,-122.46553,Incident #180000120
180000121,2019-03-07 20:17:00,West Portal,Fraud,Open,37.760169,-122.485576,Incident #180000121
180000122,2019-03-23 05:12:00,West Portal,Fraud,Arrest Made,37.748421,-122.477947,Incident #180000122
180000123,2019-03-13 19:29:00,West Portal,Larceny/Theft,Exceptional Clearance,37.722631,-122.472343,Incident #180000123
180000124,2023-05-26 21:26:00,Dogpatch,Drug Offense,Arrest Made,37.751795,-122.387313,Incident #180000124
180000125,2023-05-19 15:08:00,Dogpatch,Robbery,Arrest Made,37.76082,-122.383675,Incident #180000125
180000126,2023-05-12 12:20:00,Dogpatch,Weapons Offense,Exceptional Clearance,37.759773,-122.369251,Incident #180000126
180000127,2023-05-09 04:54:00,Dogpatch,Weapons Offense,Arrest Made,37.760783,-122.385837,Incident #180000127
180000128,2023-05-16 08:20:00,Dogpatch,Robbery,Cite or Arrest Adult,37.741556,-122.390655,Incident #180000128
180000129,2023-05-13 01:02:00,Dogpatch,Assault,Unfounded,37.759207,-122.373535,Incident #180000129
180000130,2023-05-06 03:57:00,Dogpatch,Larceny/Theft,Open,37.745527,-122.355258,Incident #180000130
180000131,2023-05-18 09:45:00,Dogpatch,Burglary,Open,37.761297,-122.394989,Incident #180000131
180000132,2023-05-14 05:10:00,Dogpatch,Public Intoxication,Cite or Arrest Adult,37.754444,-122.374459,Incident #180000132
180000133,2023-05-25 07:22:00,Dogpatch,Weapons Offense,Open,37.761771,-122.390963,Incident #180000133
180000134,2023-05-03 12:00:00,Dogpatch,Fraud,Arrest Made,37.75817,-122.377453,Incident #180000134
180000135,2023-05-07 15:31:00,Dogpatch,Robbery,Unfounded,37.758077,-122.384814,Incident #180000135
180000136,2023-05-23 20:56:00,Dogpatch,Assault,Open,37.774502,-122.382935,Incident #180000136
180000137,2023-05-17 23:08:00,Dogpatch,Motor Vehicle Theft,Unfounded,37.752665,-122.384722,Incident #180000137
180000138,2023-05-14 02:31:00,Dogpatch,Motor Vehicle Theft,Arrest Made,37.75967,-122.379015,Incident #180000138
180000139,2023-05-15 10:19:00,Dogpatch,Public Intoxication,Arrest Made,37.758508,-122.389532,Incident #180000139
180000140,2023-05-05 11:33:00,Dogpatch,Motor Vehicle Theft,Cite or Arrest Adult,37.77126,-122.382539,Incident #180000140
180000141,2023-05-15 12:32:00,Dogpatch,Motor Vehicle Theft,Cite or Arrest Adult,37.764048,-122.355975,Incident #180000141
180000142,2023-05-03 06:54:00,Dogpatch,Fraud,Arrest Made,37.748497,-122.406925,Incident #180000142
180000143,2023-05-28 19:25:00,Dogpatch,Shoplifting,Cite or Arrest Adult,37.743667,-122.398383,Incident #180000143
180000144,2023-05-14 02:08:00,Dogpatch,Vandalism,Exceptional Clearance,37.76337,-122.367341,Incident #180000144
180000145,2023-05-15 01:37:00,Dogpatch,Assault,Arrest Made,37.748395,-122.395924,Incident #180000145
180000146,2023-05-11 22:43:00,Dogpatch,Trespass,Cite or Arrest Adult,37.762998,-122.385054,Incident #180000146
180000147,2023-05-21 22:21:00,Dogpatch,Shoplifting,Arrest Made,37.76299,-122.392802,Incident #180000147
180000148,2023-05-01 17:17:00,Dogpatch,Fraud,Arrest Made,37.760103,-122.373825,Incident #180000148
180000149,2023-05-20 11:34:00,Dogpatch,Robbery,Not Prosecuted,37.786423,-122.399417,Incident #180000149
180000150,2023-05-02 09:15:00,Dogpatch,Shoplifting,Exceptional Clearance,37.755853,-122.374626,Incident #180000150
180000151,2023-05-14 03:33:00,Dogpatch,Shoplifting,Not Prosecuted,37.774358,-122.392362,Incident #180000151
180000152,2023-05-13 16:49:00,Dogpatch,Shoplifting,Open,37.755518,-122.393785,Incident #180000152
180000153,2023-05-10 01:52:00,Dogpatch,Public Intoxication,Unfounded,37.759731,-122.389623,Incident #180000153
180000154,2023-05-28 03:02:00,Dogpatch,Fraud,Not Prosecuted,37.772943,-122.37701,Incident #180000154
180000155,2023-05-21 17:47:00,Dogpatch,Robbery,Arrest Made,37.737343,-122.389605,Incident #180000155
180000156,2023-05-28 01:21:00,Dogpatch,Vandalism,Open,37.751968,-122.394676,Incident #180000156
180000157,2023-05-24 13:57:00,Dogpatch,Robbery,Open,37.756415,-122.392428,Incident #180000157
180000158,2023-05-11 20:10:00,Dogpatch,Weapons Offense,Exceptional Clearance,37.75701,-122.392042,Incident #180000158
180000159,2023-05-31 04:21:00,Dogpatch,Robbery,Not Prosecuted,37.754445,-122.392758,Incident #180000159
180000160,2023-05-01 10:43:00,Dogpatch,Weapons Offense,Open,37.743686,-122.376305,Incident #180000160
180000161,2023-05-18 19:24:00,Dogpatch,Disorderly Conduct,Open,37.769666,-122.385077,Incident #180000161
180000162,2023-05-03 18:30:00,Dogpatch,Trespass,Cite or Arrest Adult,37.772173,-122.396619,Incident #180000162
180000163,2023-05-31 11:05:00,Dogpatch,Public Intoxication,Not Prosecuted,37.746307,-122.394887,Incident #180000163
180000164,2023-05-23 20:37:00,Dogpatch,Burglary,Cite or Arrest Adult,37.750789,-122.391887,Incident #180000164
180000165,2023-05-03 22:11:00,Dogpatch,Fraud,Arrest Made,37.775332,-122.393068,Incident #180000165
180000166,2023-05-18 11:12:00,Dogpatch,Disorderly Conduct,Open,37.753386,-122.375294,Incident #180000166
180000167,2023-05-10 15:55:00,Dogpatch,Shoplifting,Open,37.768144,-122.380436,Incident #180000167
180000168,2023-05-02 14:04:00,Dogpatch,Trespass,Open,37.74592,-122.383557,Incident #180000168
180000169,2023-05-07 07:50:00,Dogpatch,Assault,Arrest Made,37.747512,-122.394232,Incident #180000169
180000170,2023-05-07 21:06:00,Dogpatch,Trespass,Arrest Made,37.769792,-122.379302,Incident #180000170
180000171,2023-05-29 04:07:00,Dogpatch,Weapons Offense,Exceptional Clearance,37.778872,-122.379243,Incident #180000171
180000172,2023-05-02 21:58:00,Dogpatch,Motor Vehicle Theft,Complainant Refuses to Prosecute,37.753113,-122.390306,Incident #180000172
180000173,2023-05-21 22:18:00,Dogpatch,Drug Offense,Cite or Arrest Adult,37.733524,-122.376309,Incident #180000173
180000174,2020-05-03 18:13:00,Tenderloin,Disorderly Conduct,Open,37.789477,-122.418709,Incident #180000174
180000175,2020-05-20 15:09:00,Tenderloin,Vandalism,Arrest Made,37.778008,-122.41814,Incident #180000175
180000176,2020-05-27 14:23:00,Tenderloin,Public Intoxication,Cite or Arrest Adult,37.774085,-122.425883,Incident #180000176
180000177,2020-05-21 21:13:00,Tenderloin,Trespass,Open,37.79786,-122.414852,Incident #180000177
180000178,2020-05-06 12:12:00,Tenderloin,Weapons Offense,Not Prosecuted,37.775056,-122.410207,Incident #180000178
180000179,2020-05-18 13:00:00,Tenderloin,Motor Vehicle Theft,Complainant Refuses to Prosecute,37.783346,-122.405365,Incident #180000179
180000180,2020-05-26 01:23:00,Tenderloin,Fraud,Exceptional Clearance,37.779456,-122.395621,Incident #180000180
180000181,2020-05-06 17:20:00,Tenderloin,Larceny/Theft,Open,37.773345,-122.431312,Incident #180000181
180000182,2020-05-13 18:09:00,Tenderloin,Weapons Offense,Open,37.793842,-122.412526,Incident #180000182
180000183,2020-05-15 13:20:00,Tenderloin,Shoplifting,Not Prosecuted,37.787105,-122.391768,Incident #180000183
180000184,2020-05-19 02:31:00,Tenderloin,Motor Vehicle Theft,Open,37.776684,-122.409296,Incident #180000184
180000185,2020-05-07 13:44:00,Tenderloin,Weapons Offense,Open,37.807894,-122.411509,Incident #180000185
180000186,2020-05-27 17:45:00,Tenderloin,Larceny/Theft,Complainant Refuses to Prosecute,37.771583,-122.4111,Incident #180000186
180000187,2020-05-11 17:22:00,Tenderloin,Robbery,Open,37.7725,-122.415555,Incident #180000187
180000188,2020-05-23 11:53:00,Tenderloin,Drug Offense,Cite or Arrest Adult,37.794437,-122.414393,Incident #180000188
180000189,2020-05-24 01:36:00,Tenderloin,Assault,Not Prosecuted,37.773248,-122.41484,Incident #180000189
180000190,2020-05-05 09:37:00,Tenderloin,Vandalism,Complainant Refuses to Prosecute,37.7779,-122.434224,Incident #180000190
180000191,2020-05-10 10:27:00,Tenderloin,Robbery,Complainant Refuses to Prosecute,37.785756,-122.41067,Incident #180000191
180000192,2020-05-27 05:09:00,Tenderloin,Weapons Offense,Cite or Arrest Adult,37.771497,-122.410618,Incident #180000192
180000193,2020-05-14 03:31:00,Tenderloin,Burglary,Open,37.795047,-122.409126,Incident #180000193
180000194,2020-05-11 08:07:00,Tenderloin,Robbery,Complainant Refuses to Prosecute,37.7899,-122.391655,Incident #180000194
180000195,2020-05-10 20:34:00,Tenderloin,Disorderly Conduct,Exceptional Clearance,37.77548,-122.407086,Incident #180000195
180000196,2020-05-12 09:10:00,Tenderloin,Robbery,Exceptional Clearance,37.771549,-122.413534,Incident #180000196
180000197,2020-05-20 11:17:00,Tenderloin,Disorderly Conduct,Complainant Refuses to Prosecute,37.781407,-122.392326,Incident #180000197
180000198,2020-05-11 17:16:00,Tenderloin,Disorderly Conduct,Open,37.783065,-122.423973,Incident #180000198
180000199,2020-05-25 14:43:00,Tenderloin,Burglary,Exceptional Clearance,37.791207,-122.405646,Incident #180000199
180000200,2020-05-27 15:59:00,Tenderloin,Public Intoxication,Cite or Arrest Adult,37.791577,-122.422862,Incident #180000200
180000201,2020-05-16 04:04:00,Tenderloin,Burglary,Open,37.788486,-122.41805,Incident #180000201
180000202,2020-05-02 11:23:00,Tenderloin,Fraud,Open,37.776216,-122.416469,Incident #180000202
180000203,2020-05-21 17:32:00,Tenderloin,Vandalism,Exceptional Clearance,37.776712,-122.406622,Incident #180000203
180000204,2020-05-19 12:01:00,Tenderloin,Burglary,Complainant Refuses to Prosecute,37.789841,-122.400368,Incident #180000204
180000205,2020-05-12 19:37:00,Tenderloin,Shoplifting,Complainant Refuses to Prosecute,37.768422,-122.41544,Incident #180000205
180000206,2020-05-21 05:34:00,Tenderloin,Trespass,Cite or Arrest Adult,37.788465,-122.427464,Incident #180000206
180000207,2020-05-05 01:24:00,Tenderloin,Motor Vehicle Theft,Exceptional Clearance,37.784767,-122.411156,Incident #180000207
180000208,2020-05-09 22:08:00,Tenderloin,Public Intoxication,Open,37.783676,-122.415599,Incident #180000208
180000209,2020-05-20 13:17:00,Tenderloin,Weapons Offense,Cite or Arrest Adult,37.780547,-122.407574,Incident #180000209
180000210,2020-05-05 23:39:00,Tenderloin,Public Intoxication,Open,37.795131,-122.407915,Incident #180000210
180000211,2020-05-28 07:05:00,Tenderloin,Disorderly Conduct,Cite or Arrest Adult,37.779273,-122.410356,Incident #180000211
180000212,2020-05-08 23:38:00,Tenderloin,Shoplifting,Open,37.793568,-122.424801,Incident #180000212
180000213,2020-05-10 00:52:00,Tenderloin,Assault,Arrest Made,37.787205,-122.412615,Incident #180000213
180000214,2020-05-26 03:13:00,Tenderloin,Trespass,Unfounded,37.778864,-122.431632,Incident #180000214
180000215,2020-05-22 17:09:00,Tenderloin,Drug Offense,Open,37.786375,-122.414721,Incident #180000215
180000216,2020-05-26 02:55:00,Tenderloin,Burglary,Open,37.798127,-122.417287,Incident #180000216
180000217,2020-05-03 05:53:00,Tenderloin,Shoplifting,Open,37.801673,-122.423526,Incident #180000217
180000218,2020-05-25 07:09:00,Tenderloin,Burglary,Cite or Arrest Adult,37.777795,-122.416082,Incident #180000218
180000219,2020-05-15 21:22:00,Tenderloin,Assault,Arrest Made,37.791898,-122.424517,Incident #180000219
180000220,2020-05-16 14:04:00,Tenderloin,Motor Vehicle Theft,Complainant Refuses to Prosecute,37.794772,-122.414505,Incident #180000220
180000221,2020-05-02 08:25:00,Tenderloin,Burglary,Complainant Refuses to Prosecute,37.777839,-122.40396,Incident #180000221
180000222,2020-05-15 02:49:00,Tenderloin,Public Intoxication,Arrest Made,37.78576,-122.41848,Incident #180000222
180000223,2020-05-24 17:30:00,Tenderloin,Public Intoxication,Open,37.778696,-122.428601,Incident #180000223
180000224,2020-05-11 05:40:00,Tenderloin,Motor Vehicle Theft,Open,37.789052,-122.426749,Incident #180000224
180000225,2020-05-18 07:59:00,Tenderloin,Disorderly Conduct,Unfounded,37.799424,-122.417272,Incident #180000225
180000226,2020-05-21 08:32:00,Tenderloin,Shoplifting,Complainant Refuses to Prosecute,37.779927,-122.410155,Incident #180000226
180000227,2020-05-18 06:28:00,Tenderloin,Vandalism,Open,37.801191,-122.41374,Incident #180000227
180000228,2020-05-06 18:53:00,Tenderloin,Public Intoxication,Arrest Made,37.806313,-122.428156,Incident #180000228
180000229,2020-05-07 07:56:00,Tenderloin,Motor Vehicle Theft,Cite or Arrest Adult,37.774519,-122.421566,Incident #180000229
180000230,2020-05-13 07:04:00,Tenderloin,Disorderly Conduct,Arrest Made,37.782648,-122.404579,Incident #180000230
180000231,2020-05-20 12:32:00,Tenderloin,Motor Vehicle Theft,Cite or Arrest Adult,37.769406,-122.441379,Incident #180000231
180000232,2020-05-05 05:50:00,Tenderloin,Robbery,Cite or Arrest Adult,37.790431,-122.402036,Incident #180000232
180000233,2020-05-22 11:20:00,Tenderloin,Weapons Offense,Exceptional Clearance,37.798331,-122.41709,Incident #180000233
180000234,2020-05-25 13:50:00,Tenderloin,Assault,Arrest Made,37.766597,-122.404533,Incident #180000234
180000235,2020-05-17 11:06:00,Tenderloin,Robbery,Complainant Refuses to Prosecute,37.78583,-122.40669,Incident #180000235
180000236,2020-05-04 16:44:00,Tenderloin,Fraud,Open,37.778682,-122.413097,Incident #180000236
180000237,2020-05-03 19:44:00,Tenderloin,Trespass,Not Prosecuted,37.796206,-122.403036,Incident #180000237
180000238,2020-05-01 15:20:00,Tenderloin,Drug Offense,Unfounded,37.766873,-122.398463,Incident #180000238
180000239,2020-05-29 06:05:00,Tenderloin,Vandalism,Unfounded,37.790228,-122.41843,Incident #180000239
180000240,2020-05-21 05:54:00,Tenderloin,Weapons Offense,Arrest Made,37.787342,-122.404546,Incident #180000240
180000241,2020-05-07 16:06:00,Tenderloin,Fraud,Cite or Arrest Adult,37.790122,-122.409777,Incident #180000241
180000242,2020-05-10 11:02:00,Tenderloin,Motor Vehicle Theft,Open,37.769505,-122.390314,Incident #180000242
